?Order Date;Channel;SKU;Item Description;Origin;SO;Total Price;Cost;Shipping Cost;Profit
28.3.2023;Amazon;N123456-915;Some Item Description 817;53877;124272;152;66;16;70
29.3.2023;Walmart;N123456-916;Some Item Description 818;47959;124273;100;38;13;49
30.3.2023;NewEgg;N123456-917;Some Item Description 819;34302;124274;133;67;10;56
31.3.2023;Sears;N123456-918;Some Item Description 820;25622;124275;131;83;22;26
1.4.2023;eBay;N123456-919;Some Item Description 821;32524;124276;92;36;14;42
2.4.2023;Amazon;N123456-920;Some Item Description 822;22617;124277;137;89;24;24
3.4.2023;Walmart;N123456-921;Some Item Description 823;35759;124278;127;65;25;37
4.4.2023;NewEgg;N123456-922;Some Item Description 824;30110;124279;183;87;16;80
5.4.2023;Sears;N123456-923;Some Item Description 825;23857;124280;219;86;16;117
6.4.2023;eBay;N123456-924;Some Item Description 826;51228;124281;134;79;12;43
7.4.2023;Amazon;N123456-925;Some Item Description 827;44679;124282;96;35;22;39
8.4.2023;Walmart;N123456-926;Some Item Description 828;24378;124283;134;91;11;32
9.4.2023;NewEgg;N123456-927;Some Item Description 829;51694;124284;72;31;18;23
10.4.2023;Sears;N123456-928;Some Item Description 830;33415;124285;70;33;21;16
11.4.2023;eBay;N123456-929;Some Item Description 831;34941;124286;85;51;18;16
12.4.2023;Amazon;N123456-930;Some Item Description 832;35203;124287;66;36;12;18
13.4.2023;Walmart;N123456-931;Some Item Description 833;34496;124288;146;81;25;40
14.4.2023;NewEgg;N123456-932;Some Item Description 834;54956;124289;114;48;15;51
15.4.2023;Sears;N123456-933;Some Item Description 835;53240;124290;119;79;25;15
16.4.2023;eBay;N123456-934;Some Item Description 836;47551;124291;123;59;17;47
17.4.2023;Amazon;N123456-935;Some Item Description 837;32421;124292;147;83;12;52
18.4.2023;Walmart;N123456-936;Some Item Description 838;45842;124293;77;41;16;20
19.4.2023;NewEgg;N123456-937;Some Item Description 839;53274;124294;162;86;18;58
20.4.2023;Sears;N123456-938;Some Item Description 840;46614;124295;124;69;20;35
21.4.2023;eBay;N123456-939;Some Item Description 841;45888;124296;111;60;14;37
22.4.2023;Amazon;N123456-940;Some Item Description 842;50044;124297;149;68;10;71
23.4.2023;Walmart;N123456-941;Some Item Description 843;39434;124298;108;53;22;33
24.4.2023;NewEgg;N123456-942;Some Item Description 844;24521;124299;219;87;16;116
25.4.2023;Sears;N123456-943;Some Item Description 845;39929;124300;84;35;19;30
26.4.2023;eBay;N123456-944;Some Item Description 846;34267;124301;138;83;18;37
27.4.2023;Amazon;N123456-945;Some Item Description 847;35684;124302;131;97;13;21
28.4.2023;Walmart;N123456-946;Some Item Description 848;31186;124303;141;63;23;55
29.4.2023;NewEgg;N123456-947;Some Item Description 849;28123;124304;119;81;19;19
30.4.2023;Sears;N123456-948;Some Item Description 850;45804;124305;101;41;21;39
1.5.2023;eBay;N123456-949;Some Item Description 851;53234;124306;146;78;23;45
2.5.2023;Amazon;N123456-950;Some Item Description 852;39938;124307;186;91;10;85
3.5.2023;Walmart;N123456-951;Some Item Description 853;31560;124308;222;95;18;109
4.5.2023;NewEgg;N123456-952;Some Item Description 854;46259;124309;111;57;18;36
5.5.2023;Sears;N123456-953;Some Item Description 855;50950;124310;190;71;11;108
6.5.2023;eBay;N123456-954;Some Item Description 856;48303;124311;78;40;11;27
7.5.2023;Amazon;N123456-955;Some Item Description 857;36747;124312;81;43;18;20
8.5.2023;Walmart;N123456-956;Some Item Description 858;29569;124313;103;31;19;53
9.5.2023;NewEgg;N123456-957;Some Item Description 859;30783;124314;131;56;12;63
10.5.2023;Sears;N123456-958;Some Item Description 860;49103;124315;218;87;21;110
11.5.2023;eBay;N123456-959;Some Item Description 861;50169;124316;109;59;17;33
12.5.2023;Amazon;N123456-960;Some Item Description 862;43671;124317;83;38;13;32
13.5.2023;Walmart;N123456-961;Some Item Description 863;32924;124318;102;59;18;25
14.5.2023;NewEgg;N123456-962;Some Item Description 864;31722;124319;157;74;17;66
15.5.2023;Sears;N123456-963;Some Item Description 865;22556;124320;183;67;24;92
16.5.2023;eBay;N123456-964;Some Item Description 866;34935;124321;78;40;23;15
17.5.2023;Amazon;N123456-965;Some Item Description 867;50020;124322;169;87;13;69
18.5.2023;Walmart;N123456-966;Some Item Description 868;24807;124323;106;65;10;31
19.5.2023;NewEgg;N123456-967;Some Item Description 869;31199;124324;244;98;24;122
20.5.2023;Sears;N123456-968;Some Item Description 870;31788;124325;118;46;14;58
21.5.2023;eBay;N123456-969;Some Item Description 871;51432;124326;161;98;20;43
22.5.2023;Amazon;N123456-970;Some Item Description 872;24332;124327;169;87;11;71
23.5.2023;Walmart;N123456-971;Some Item Description 873;39311;124328;202;88;11;103
24.5.2023;NewEgg;N123456-972;Some Item Description 874;36620;124329;120;64;21;35
25.5.2023;Sears;N123456-973;Some Item Description 875;50913;124330;135;97;14;24
26.5.2023;eBay;N123456-974;Some Item Description 876;29321;124331;120;87;13;20
27.5.2023;Amazon;N123456-975;Some Item Description 877;30782;124332;82;49;14;19
28.5.2023;Walmart;N123456-976;Some Item Description 878;37180;124333;119;50;12;57
29.5.2023;NewEgg;N123456-977;Some Item Description 879;26996;124334;125;76;13;36
30.5.2023;Sears;N123456-978;Some Item Description 880;46294;124335;116;73;22;21
31.5.2023;eBay;N123456-979;Some Item Description 881;40603;124336;106;59;10;37
1.6.2023;Amazon;N123456-980;Some Item Description 882;53374;124337;132;48;18;66
2.6.2023;Walmart;N123456-981;Some Item Description 883;46133;124338;64;36;13;15
3.6.2023;NewEgg;N123456-982;Some Item Description 884;34550;124339;157;100;24;33
4.6.2023;Sears;N123456-983;Some Item Description 885;47304;124340;158;70;23;65
5.6.2023;eBay;N123456-984;Some Item Description 886;28446;124341;99;37;15;47
6.6.2023;Amazon;N123456-985;Some Item Description 887;45238;124342;114;71;18;25
7.6.2023;Walmart;N123456-986;Some Item Description 888;22945;124343;173;85;17;71
8.6.2023;NewEgg;N123456-987;Some Item Description 889;25750;124344;134;73;23;38
9.6.2023;Sears;N123456-988;Some Item Description 890;46343;124345;130;89;17;24
10.6.2023;eBay;N123456-989;Some Item Description 891;26582;124346;126;82;19;25
11.6.2023;Amazon;N123456-990;Some Item Description 892;45775;124347;189;87;10;92
12.6.2023;Walmart;N123456-991;Some Item Description 893;24726;124348;141;70;13;58
13.6.2023;NewEgg;N123456-992;Some Item Description 894;49148;124349;136;58;12;66
14.6.2023;Sears;N123456-993;Some Item Description 895;45341;124350;181;90;16;75
15.6.2023;eBay;N123456-994;Some Item Description 896;34885;124351;111;45;10;56
16.6.2023;Amazon;N123456-995;Some Item Description 897;28347;124352;209;90;18;101
17.6.2023;Walmart;N123456-996;Some Item Description 898;29163;124353;128;79;21;28
18.6.2023;NewEgg;N123456-997;Some Item Description 899;26715;124354;132;77;22;33
19.6.2023;Sears;N123456-998;Some Item Description 900;50398;124355;147;93;11;43
20.6.2023;eBay;N123456-999;Some Item Description 901;28226;124356;117;34;12;71
21.6.2023;Amazon;N123456-1000;Some Item Description 902;23897;124357;73;44;11;18
22.6.2023;Walmart;N123456-1001;Some Item Description 903;47675;124358;181;92;20;69
23.6.2023;NewEgg;N123456-1002;Some Item Description 904;49296;124359;148;100;21;27
24.6.2023;Sears;N123456-1003;Some Item Description 905;22768;124360;70;33;21;16
25.6.2023;eBay;N123456-1004;Some Item Description 906;53082;124361;69;37;14;18
26.6.2023;Amazon;N123456-1005;Some Item Description 907;32823;124362;135;44;12;79
27.6.2023;Walmart;N123456-1006;Some Item Description 908;51194;124363;127;40;12;75
28.6.2023;NewEgg;N123456-1007;Some Item Description 909;37390;124364;65;32;12;21
29.6.2023;Sears;N123456-1008;Some Item Description 910;33977;124365;138;49;13;76
30.6.2023;eBay;N123456-1009;Some Item Description 911;39521;124366;103;58;16;29
1.7.2023;Amazon;N123456-1010;Some Item Description 912;24872;124367;175;64;25;86
2.7.2023;Walmart;N123456-1011;Some Item Description 913;23374;124368;109;52;16;41
3.7.2023;NewEgg;N123456-1012;Some Item Description 914;30682;124369;156;98;23;35
4.7.2023;Sears;N123456-1013;Some Item Description 915;51330;124370;213;97;11;105
5.7.2023;eBay;N123456-1014;Some Item Description 916;33208;124371;136;81;23;32
6.7.2023;Amazon;N123456-1015;Some Item Description 917;55469;124372;66;34;13;19
7.7.2023;Walmart;N123456-1016;Some Item Description 918;33420;124373;100;32;17;51
8.7.2023;NewEgg;N123456-1017;Some Item Description 919;51623;124374;81;43;15;23
9.7.2023;Sears;N123456-1018;Some Item Description 920;30917;124375;74;31;10;33
10.7.2023;eBay;N123456-1019;Some Item Description 921;27962;124376;166;89;15;62
11.7.2023;Amazon;N123456-1020;Some Item Description 922;53432;124377;183;67;19;97
12.7.2023;Walmart;N123456-1021;Some Item Description 923;49105;124378;113;44;11;58
13.7.2023;NewEgg;N123456-1022;Some Item Description 924;38864;124379;137;96;20;21
14.7.2023;Sears;N123456-1023;Some Item Description 925;48067;124380;144;52;11;81
15.7.2023;eBay;N123456-1024;Some Item Description 926;39306;124381;118;84;10;24
16.7.2023;Amazon;N123456-1025;Some Item Description 927;31850;124382;106;63;18;25
17.7.2023;Walmart;N123456-1026;Some Item Description 928;27356;124383;111;73;10;28
18.7.2023;NewEgg;N123456-1027;Some Item Description 929;34321;124384;142;49;21;72
19.7.2023;Sears;N123456-1028;Some Item Description 930;55191;124385;142;51;15;76
20.7.2023;eBay;N123456-1029;Some Item Description 931;30907;124386;71;31;21;19
21.7.2023;Amazon;N123456-1030;Some Item Description 932;40001;124387;111;55;18;38
22.7.2023;Walmart;N123456-1031;Some Item Description 933;32228;124388;112;57;14;41
23.7.2023;NewEgg;N123456-1032;Some Item Description 934;30350;124389;87;35;13;39
24.7.2023;Sears;N123456-1033;Some Item Description 935;53439;124390;129;47;17;65
25.7.2023;eBay;N123456-1034;Some Item Description 936;38136;124391;162;77;17;68
26.7.2023;Amazon;N123456-1035;Some Item Description 937;46249;124392;99;34;16;49
27.7.2023;Walmart;N123456-1036;Some Item Description 938;43172;124393;128;60;25;43
28.7.2023;NewEgg;N123456-1037;Some Item Description 939;43933;124394;114;67;19;28
29.7.2023;Sears;N123456-1038;Some Item Description 940;45576;124395;128;55;23;50
30.7.2023;eBay;N123456-1039;Some Item Description 941;22828;124396;160;63;25;72
31.7.2023;Amazon;N123456-1040;Some Item Description 942;48500;124397;123;55;25;43
1.8.2023;Walmart;N123456-1041;Some Item Description 943;45022;124398;86;36;22;28
2.8.2023;NewEgg;N123456-1042;Some Item Description 944;53824;124399;134;92;17;25
3.8.2023;Sears;N123456-1043;Some Item Description 945;38872;124400;100;55;12;33
4.8.2023;eBay;N123456-1044;Some Item Description 946;23379;124401;201;96;12;93
5.8.2023;Amazon;N123456-1045;Some Item Description 947;41477;124402;91;54;16;21
6.8.2023;Walmart;N123456-1046;Some Item Description 948;35024;124403;111;52;16;43
7.8.2023;NewEgg;N123456-1047;Some Item Description 949;48189;124404;119;81;13;25
8.8.2023;Sears;N123456-1048;Some Item Description 950;31033;124405;159;78;13;68
9.8.2023;eBay;N123456-1049;Some Item Description 951;22647;124406;211;83;16;112
10.8.2023;Amazon;N123456-1050;Some Item Description 952;33528;124407;105;60;25;20
11.8.2023;Walmart;N123456-1051;Some Item Description 953;41424;124408;209;86;21;102
12.8.2023;NewEgg;N123456-1052;Some Item Description 954;45939;124409;101;36;13;52
13.8.2023;Sears;N123456-1053;Some Item Description 955;42884;124410;217;90;24;103
14.8.2023;eBay;N123456-1054;Some Item Description 956;40636;124411;78;44;12;22
15.8.2023;Amazon;N123456-1055;Some Item Description 957;31299;124412;191;82;10;99
16.8.2023;Walmart;N123456-1056;Some Item Description 958;22967;124413;104;30;14;60
17.8.2023;NewEgg;N123456-1057;Some Item Description 959;35212;124414;120;41;17;62
18.8.2023;Sears;N123456-1058;Some Item Description 960;42839;124415;176;64;21;91
19.8.2023;eBay;N123456-1059;Some Item Description 961;46162;124416;154;57;18;79
20.8.2023;Amazon;N123456-1060;Some Item Description 962;53768;124417;136;94;14;28
21.8.2023;Walmart;N123456-1061;Some Item Description 963;23391;124418;242;99;10;133
22.8.2023;NewEgg;N123456-1062;Some Item Description 964;53925;124419;101;30;10;61
23.8.2023;Sears;N123456-1063;Some Item Description 965;25459;124420;147;97;11;39
24.8.2023;eBay;N123456-1064;Some Item Description 966;48595;124421;140;67;16;57
25.8.2023;Amazon;N123456-1065;Some Item Description 967;23116;124422;150;73;12;65
26.8.2023;Walmart;N123456-1066;Some Item Description 968;27690;124423;150;78;22;50
27.8.2023;NewEgg;N123456-1067;Some Item Description 969;52657;124424;229;91;11;127
28.8.2023;Sears;N123456-1068;Some Item Description 970;28060;124425;221;91;14;116
29.8.2023;eBay;N123456-1069;Some Item Description 971;31630;124426;182;94;20;68
30.8.2023;Amazon;N123456-1070;Some Item Description 972;33888;124427;184;95;19;70
31.8.2023;Walmart;N123456-1071;Some Item Description 973;31499;124428;169;92;25;52
1.9.2023;NewEgg;N123456-1072;Some Item Description 974;50845;124429;135;64;21;50
2.9.2023;Sears;N123456-1073;Some Item Description 975;22604;124430;119;51;22;46
3.9.2023;eBay;N123456-1074;Some Item Description 976;25636;124431;85;36;19;30
4.9.2023;Amazon;N123456-1075;Some Item Description 977;29221;124432;135;85;18;32
5.9.2023;Walmart;N123456-1076;Some Item Description 978;29498;124433;194;88;18;88
6.9.2023;NewEgg;N123456-1077;Some Item Description 979;30131;124434;223;98;23;102
7.9.2023;Sears;N123456-1078;Some Item Description 980;38250;124435;155;65;11;79
8.9.2023;eBay;N123456-1079;Some Item Description 981;36201;124436;157;91;15;51
9.9.2023;Amazon;N123456-1080;Some Item Description 982;48277;124437;236;94;17;125
10.9.2023;Walmart;N123456-1081;Some Item Description 983;30952;124438;97;54;22;21
11.9.2023;NewEgg;N123456-1082;Some Item Description 984;52278;124439;171;62;13;96
12.9.2023;Sears;N123456-1083;Some Item Description 985;28380;124440;142;95;14;33
13.9.2023;eBay;N123456-1084;Some Item Description 986;36648;124441;177;64;20;93
14.9.2023;Amazon;N123456-1085;Some Item Description 987;36377;124442;178;79;20;79
15.9.2023;Walmart;N123456-1086;Some Item Description 988;46818;124443;132;89;14;29
16.9.2023;NewEgg;N123456-1087;Some Item Description 989;51208;124444;231;99;19;113
17.9.2023;Sears;N123456-1088;Some Item Description 990;26980;124445;203;78;25;100
18.9.2023;eBay;N123456-1089;Some Item Description 991;55514;124446;140;47;13;80
19.9.2023;Amazon;N123456-1090;Some Item Description 992;53920;124447;176;88;24;64
20.9.2023;Walmart;N123456-1091;Some Item Description 993;55142;124448;181;89;16;76
21.9.2023;NewEgg;N123456-1092;Some Item Description 994;48238;124449;127;40;14;73
22.9.2023;Sears;N123456-1093;Some Item Description 995;38852;124450;89;33;23;33
23.9.2023;eBay;N123456-1094;Some Item Description 996;36482;124451;78;35;25;18
24.9.2023;Amazon;N123456-1095;Some Item Description 997;35414;124452;233;94;15;124
25.9.2023;Walmart;N123456-1096;Some Item Description 998;52853;124453;125;74;10;41
26.9.2023;NewEgg;N123456-1097;Some Item Description 999;30116;124454;65;31;15;19
27.9.2023;Sears;N123456-1098;Some Item Description 1000;39003;124455;193;99;23;71
28.9.2023;eBay;N123456-1099;Some Item Description 1001;33463;124456;103;56;15;32
29.9.2023;Amazon;N123456-1100;Some Item Description 1002;51111;124457;110;57;23;30
30.9.2023;Walmart;N123456-1101;Some Item Description 1003;55380;124458;111;61;22;28
1.10.2023;NewEgg;N123456-1102;Some Item Description 1004;23893;124459;92;37;13;42
2.10.2023;Sears;N123456-1103;Some Item Description 1005;33342;124460;121;40;13;68
3.10.2023;eBay;N123456-1104;Some Item Description 1006;31996;124461;139;85;12;42
4.10.2023;Amazon;N123456-1105;Some Item Description 1007;27530;124462;116;38;24;54
5.10.2023;Walmart;N123456-1106;Some Item Description 1008;39413;124463;113;69;21;23
6.10.2023;NewEgg;N123456-1107;Some Item Description 1009;38062;124464;108;32;11;65
7.10.2023;Sears;N123456-1108;Some Item Description 1010;29777;124465;134;55;23;56
8.10.2023;eBay;N123456-1109;Some Item Description 1011;24551;124466;84;55;13;16
9.10.2023;Amazon;N123456-1110;Some Item Description 1012;24504;124467;131;73;22;36
10.10.2023;Walmart;N123456-1111;Some Item Description 1013;29098;124468;141;65;25;51
11.10.2023;NewEgg;N123456-1112;Some Item Description 1014;42572;124469;184;86;15;83
12.10.2023;Sears;N123456-1113;Some Item Description 1015;46587;124470;119;54;22;43
13.10.2023;eBay;N123456-1114;Some Item Description 1016;38649;124471;160;82;18;60
14.10.2023;Amazon;N123456-1115;Some Item Description 1017;42483;124472;136;97;21;18
15.10.2023;Walmart;N123456-1116;Some Item Description 1018;53478;124473;166;66;24;76
16.10.2023;NewEgg;N123456-1117;Some Item Description 1019;54738;124474;97;32;18;47
17.10.2023;Sears;N123456-1118;Some Item Description 1020;49469;124475;160;72;13;75
18.10.2023;eBay;N123456-1119;Some Item Description 1021;44358;124476;89;42;15;32
19.10.2023;Amazon;N123456-1120;Some Item Description 1022;38404;124477;133;93;20;20
20.10.2023;Walmart;N123456-1121;Some Item Description 1023;28112;124478;176;72;11;93
21.10.2023;NewEgg;N123456-1122;Some Item Description 1024;51023;124479;94;31;12;51
22.10.2023;Sears;N123456-1123;Some Item Description 1025;49927;124480;135;81;22;32
23.10.2023;eBay;N123456-1124;Some Item Description 1026;40351;124481;231;98;11;122
24.10.2023;Amazon;N123456-1125;Some Item Description 1027;39046;124482;120;78;15;27
25.10.2023;Walmart;N123456-1126;Some Item Description 1028;50600;124483;105;36;12;57
26.10.2023;NewEgg;N123456-1127;Some Item Description 1029;28780;124484;162;91;23;48
27.10.2023;Sears;N123456-1128;Some Item Description 1030;35173;124485;84;39;21;24
28.10.2023;eBay;N123456-1129;Some Item Description 1031;54421;124486;101;61;21;19
29.10.2023;Amazon;N123456-1130;Some Item Description 1032;42642;124487;181;86;10;85
30.10.2023;Walmart;N123456-1131;Some Item Description 1033;46781;124488;106;47;16;43
31.10.2023;NewEgg;N123456-1132;Some Item Description 1034;38995;124489;142;85;14;43
1.11.2023;Sears;N123456-1133;Some Item Description 1035;43091;124490;133;89;12;32
2.11.2023;eBay;N123456-1134;Some Item Description 1036;37233;124491;133;60;17;56
3.11.2023;Amazon;N123456-1135;Some Item Description 1037;52349;124492;98;38;19;41
4.11.2023;Walmart;N123456-1136;Some Item Description 1038;26792;124493;166;91;12;63
5.11.2023;NewEgg;N123456-1137;Some Item Description 1039;34223;124494;217;96;19;102
6.11.2023;Sears;N123456-1138;Some Item Description 1040;32025;124495;137;65;13;59
7.11.2023;eBay;N123456-1139;Some Item Description 1041;30949;124496;137;88;17;32
8.11.2023;Amazon;N123456-1140;Some Item Description 1042;55520;124497;189;79;20;90
9.11.2023;Walmart;N123456-1141;Some Item Description 1043;48587;124498;237;99;16;122
10.11.2023;NewEgg;N123456-1142;Some Item Description 1044;43949;124499;127;61;16;50
11.11.2023;Sears;N123456-1143;Some Item Description 1045;27041;124500;174;63;22;89
12.11.2023;eBay;N123456-1144;Some Item Description 1046;28219;124501;204;78;15;111
13.11.2023;Amazon;N123456-1145;Some Item Description 1047;48522;124502;135;48;24;63
14.11.2023;Walmart;N123456-1146;Some Item Description 1048;23684;124503;198;83;24;91
15.11.2023;NewEgg;N123456-1147;Some Item Description 1049;52195;124504;180;70;16;94
16.11.2023;Sears;N123456-1148;Some Item Description 1050;44906;124505;137;62;16;59
17.11.2023;eBay;N123456-1149;Some Item Description 1051;36433;124506;149;65;11;73
18.11.2023;Amazon;N123456-1150;Some Item Description 1052;38941;124507;176;89;14;73
19.11.2023;Walmart;N123456-1151;Some Item Description 1053;38848;124508;205;79;21;105
20.11.2023;NewEgg;N123456-1152;Some Item Description 1054;39576;124509;155;64;16;75
21.11.2023;Sears;N123456-1153;Some Item Description 1055;36542;124510;82;44;20;18
22.11.2023;eBay;N123456-1154;Some Item Description 1056;45012;124511;89;31;16;42
23.11.2023;Amazon;N123456-1155;Some Item Description 1057;29410;124512;143;51;25;67
24.11.2023;Walmart;N123456-1156;Some Item Description 1058;54646;124513;114;50;16;48
25.11.2023;NewEgg;N123456-1157;Some Item Description 1059;37989;124514;182;67;24;91
26.11.2023;Sears;N123456-1158;Some Item Description 1060;26876;124515;147;58;23;66
27.11.2023;eBay;N123456-1159;Some Item Description 1061;25193;124516;181;88;20;73
28.11.2023;Amazon;N123456-1160;Some Item Description 1062;53281;124517;121;52;25;44
29.11.2023;Walmart;N123456-1161;Some Item Description 1063;52567;124518;171;81;14;76
30.11.2023;NewEgg;N123456-1162;Some Item Description 1064;44776;124519;120;54;18;48
1.12.2023;Sears;N123456-1163;Some Item Description 1065;47074;124520;137;83;17;37
2.12.2023;eBay;N123456-1164;Some Item Description 1066;52683;124521;201;84;18;99
3.12.2023;Amazon;N123456-1165;Some Item Description 1067;41738;124522;178;68;16;94
4.12.2023;Walmart;N123456-1166;Some Item Description 1068;50028;124523;123;47;22;54
5.12.2023;NewEgg;N123456-1167;Some Item Description 1069;55167;124524;99;43;13;43
6.12.2023;Sears;N123456-1168;Some Item Description 1070;25026;124525;103;47;14;42
7.12.2023;eBay;N123456-1169;Some Item Description 1071;27271;124526;140;55;22;63
8.12.2023;Amazon;N123456-1170;Some Item Description 1072;37782;124527;157;86;14;57
9.12.2023;Walmart;N123456-1171;Some Item Description 1073;54806;124528;124;52;11;61
10.12.2023;NewEgg;N123456-1172;Some Item Description 1074;46948;124529;138;47;14;77
11.12.2023;Sears;N123456-1173;Some Item Description 1075;37180;124530;167;99;25;43
12.12.2023;eBay;N123456-1174;Some Item Description 1076;32128;124531;114;54;25;35
13.12.2023;Amazon;N123456-1175;Some Item Description 1077;43657;124532;156;76;25;55
14.12.2023;Walmart;N123456-1176;Some Item Description 1078;48215;124533;185;72;21;92
15.12.2023;NewEgg;N123456-1177;Some Item Description 1079;37334;124534;97;58;16;23
16.12.2023;Sears;N123456-1178;Some Item Description 1080;35779;124535;204;85;24;95
17.12.2023;eBay;N123456-1179;Some Item Description 1081;36085;124536;182;97;10;75
18.12.2023;Amazon;N123456-1180;Some Item Description 1082;38378;124537;153;72;19;62
19.12.2023;Walmart;N123456-1181;Some Item Description 1083;31675;124538;124;37;21;66
20.12.2023;NewEgg;N123456-1182;Some Item Description 1084;47584;124539;73;35;18;20
21.12.2023;Sears;N123456-1183;Some Item Description 1085;36920;124540;136;75;23;38
22.12.2023;eBay;N123456-1184;Some Item Description 1086;37451;124541;146;66;20;60
23.12.2023;Amazon;N123456-1185;Some Item Description 1087;42142;124542;112;32;23;57
24.12.2023;Walmart;N123456-1186;Some Item Description 1088;39892;124543;161;63;13;85
25.12.2023;NewEgg;N123456-1187;Some Item Description 1089;38793;124544;168;85;11;72
26.12.2023;Sears;N123456-1188;Some Item Description 1090;36446;124545;105;35;14;56
27.12.2023;eBay;N123456-1189;Some Item Description 1091;38171;124546;146;83;15;48
28.12.2023;Amazon;N123456-1190;Some Item Description 1092;28590;124547;171;70;16;85
29.12.2023;Walmart;N123456-1191;Some Item Description 1093;32674;124548;175;71;11;93
30.12.2023;NewEgg;N123456-1192;Some Item Description 1094;36411;124549;138;53;21;64
31.12.2023;Sears;N123456-1193;Some Item Description 1095;52879;124550;167;72;21;74
1.1.2024;eBay;N123456-1194;Some Item Description 1096;47455;124551;208;79;22;107
2.1.2024;Amazon;N123456-1195;Some Item Description 1097;26674;124552;127;41;17;69
3.1.2024;Walmart;N123456-1196;Some Item Description 1098;34354;124553;134;62;15;57
4.1.2024;NewEgg;N123456-1197;Some Item Description 1099;35113;124554;110;72;17;21
5.1.2024;Sears;N123456-1198;Some Item Description 1100;36026;124555;134;80;12;42
6.1.2024;eBay;N123456-1199;Some Item Description 1101;32969;124556;164;88;15;61
7.1.2024;Amazon;N123456-1200;Some Item Description 1102;24426;124557;199;100;23;76
8.1.2024;Walmart;N123456-1201;Some Item Description 1103;39039;124558;185;92;17;76
9.1.2024;NewEgg;N123456-1202;Some Item Description 1104;40636;124559;169;60;10;99
10.1.2024;Sears;N123456-1203;Some Item Description 1105;24900;124560;182;75;11;96
11.1.2024;eBay;N123456-1204;Some Item Description 1106;38823;124561;152;52;17;83
12.1.2024;Amazon;N123456-1205;Some Item Description 1107;42176;124562;114;63;21;30
13.1.2024;Walmart;N123456-1206;Some Item Description 1108;27979;124563;103;32;12;59
14.1.2024;NewEgg;N123456-1207;Some Item Description 1109;31989;124564;94;49;23;22
15.1.2024;Sears;N123456-1208;Some Item Description 1110;52376;124565;213;94;25;94
16.1.2024;eBay;N123456-1209;Some Item Description 1111;36803;124566;167;84;14;69
17.1.2024;Amazon;N123456-1210;Some Item Description 1112;43344;124567;130;77;23;30
18.1.2024;Walmart;N123456-1211;Some Item Description 1113;52703;124568;127;46;15;66
19.1.2024;NewEgg;N123456-1212;Some Item Description 1114;30768;124569;100;40;16;44
20.1.2024;Sears;N123456-1213;Some Item Description 1115;27587;124570;120;49;19;52
21.1.2024;eBay;N123456-1214;Some Item Description 1116;38759;124571;82;39;13;30
22.1.2024;Amazon;N123456-1215;Some Item Description 1117;44422;124572;113;70;21;22
23.1.2024;Walmart;N123456-1216;Some Item Description 1118;23458;124573;122;73;11;38
24.1.2024;NewEgg;N123456-1217;Some Item Description 1119;49366;124574;192;86;17;89
25.1.2024;Sears;N123456-1218;Some Item Description 1120;30817;124575;184;79;24;81
26.1.2024;eBay;N123456-1219;Some Item Description 1121;45033;124576;144;76;25;43
27.1.2024;Amazon;N123456-1220;Some Item Description 1122;54076;124577;129;55;18;56
28.1.2024;Walmart;N123456-1221;Some Item Description 1123;30296;124578;156;80;21;55
29.1.2024;NewEgg;N123456-1222;Some Item Description 1124;24602;124579;196;100;17;79
30.1.2024;Sears;N123456-1223;Some Item Description 1125;36451;124580;203;86;25;92
31.1.2024;eBay;N123456-1224;Some Item Description 1126;50750;124581;169;74;11;84
1.2.2024;Amazon;N123456-1225;Some Item Description 1127;51934;124582;183;78;22;83
2.2.2024;Walmart;N123456-1226;Some Item Description 1128;24214;124583;131;51;11;69
3.2.2024;NewEgg;N123456-1227;Some Item Description 1129;29679;124584;115;33;20;62
4.2.2024;Sears;N123456-1228;Some Item Description 1130;28064;124585;128;78;16;34
5.2.2024;eBay;N123456-1229;Some Item Description 1131;41620;124586;204;85;12;107
6.2.2024;Amazon;N123456-1230;Some Item Description 1132;32049;124587;162;67;25;70
7.2.2024;Walmart;N123456-1231;Some Item Description 1133;36148;124588;84;43;11;30
8.2.2024;NewEgg;N123456-1232;Some Item Description 1134;53626;124589;182;89;20;73
9.2.2024;Sears;N123456-1233;Some Item Description 1135;25954;124590;99;59;18;22
10.2.2024;eBay;N123456-1234;Some Item Description 1136;41245;124591;107;62;18;27
11.2.2024;Amazon;N123456-1235;Some Item Description 1137;51489;124592;90;48;15;27
12.2.2024;Walmart;N123456-1236;Some Item Description 1138;31852;124593;123;55;17;51
13.2.2024;NewEgg;N123456-1237;Some Item Description 1139;52366;124594;141;71;20;50
14.2.2024;Sears;N123456-1238;Some Item Description 1140;44328;124595;197;83;18;96
15.2.2024;eBay;N123456-1239;Some Item Description 1141;47328;124596;179;65;23;91
16.2.2024;Amazon;N123456-1240;Some Item Description 1142;55115;124597;72;37;18;17
17.2.2024;Walmart;N123456-1241;Some Item Description 1143;41020;124598;103;40;23;40
18.2.2024;NewEgg;N123456-1242;Some Item Description 1144;41121;124599;118;53;19;46
19.2.2024;Sears;N123456-1243;Some Item Description 1145;25498;124600;139;54;20;65
20.2.2024;eBay;N123456-1244;Some Item Description 1146;48992;124601;90;31;21;38
21.2.2024;Amazon;N123456-1245;Some Item Description 1147;36088;124602;231;92;16;123
22.2.2024;Walmart;N123456-1246;Some Item Description 1148;49625;124603;136;85;20;31
